,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
52,1,0,1,2,0,0,0,6,2018,5,16,4,0,0,0,136.67,1,1
53,2,0,0,4,0,0,3,51,2017,11,11,3,0,0,0,60.0,1,1
54,2,0,1,0,3,0,0,13,2018,6,13,4,0,0,0,89.0,2,1
55,2,0,1,3,0,0,0,100,2018,5,19,4,0,0,0,136.0,1,1
56,2,0,0,1,3,0,0,139,2018,7,28,4,0,0,0,94.5,1,1
57,2,0,1,2,0,0,0,117,2018,12,26,4,0,0,0,93.6,2,1
58,2,0,1,4,0,0,3,39,2018,4,20,4,0,0,0,120.6,0,0
59,2,0,0,3,0,0,3,86,2018,4,6,4,0,0,0,99.3,1,1
60,2,2,0,1,0,1,5,2,2018,9,2,4,0,0,0,258.0,1,1
61,1,0,0,3,0,0,3,19,2018,5,3,4,0,0,0,120.12,2,1
62,1,0,0,2,0,0,0,192,2018,6,24,3,0,0,0,95.0,0,1
63,1,0,0,1,0,0,0,2,2017,9,10,1,0,0,0,0.0,1,1
64,2,0,2,1,0,0,0,86,2018,12,18,3,0,0,0,75.0,0,1
65,2,0,0,3,0,0,3,30,2018,10,5,4,0,0,0,157.5,2,1
66,2,0,0,2,0,0,3,179,2018,6,3,4,0,0,0,97.7,1,1
67,2,0,0,2,0,0,3,26,2018,4,15,4,0,0,0,142.0,0,0
68,2,0,0,1,0,0,0,55,2018,4,6,3,0,0,0,80.0,0,1
69,2,0,1,2,0,0,0,74,2018,4,25,4,0,0,0,85.5,1,1
70,2,0,0,3,0,0,0,143,2018,8,25,3,0,0,0,100.0,0,1
71,2,0,1,0,3,0,0,34,2018,11,14,4,0,0,0,88.0,2,1
72,2,0,1,1,0,1,0,30,2018,8,29,4,0,0,0,122.85,1,1
73,2,0,0,2,0,0,0,177,2018,6,3,4,0,0,0,100.0,0,0
74,2,0,2,3,0,0,3,34,2017,10,25,3,0,0,0,75.0,0,1
75,2,0,1,4,0,0,3,18,2018,3,9,4,0,0,0,116.8,1,1
76,3,0,1,1,0,0,3,267,2018,12,31,4,0,0,0,121.5,0,1
77,2,0,1,2,0,0,0,64,2018,6,27,4,0,0,0,111.9,1,1
78,3,0,2,5,0,0,3,155,2018,6,28,4,0,0,0,121.55,2,0
79,2,0,0,5,0,0,0,46,2018,3,29,3,0,0,0,75.0,1,1
80,2,2,0,2,0,0,5,83,2018,4,1,4,0,0,0,159.3,0,0
81,2,0,0,5,0,0,3,128,2018,10,11,4,0,0,0,132.3,0,0
82,2,0,2,0,3,0,0,20,2018,12,25,4,0,0,0,88.0,2,1
83,2,0,1,4,0,0,3,40,2018,3,14,4,0,0,0,98.82,0,1
84,2,0,1,2,0,1,3,46,2018,3,4,4,0,0,0,98.3,1,1
85,1,0,1,0,0,0,0,1,2018,10,17,4,0,0,0,150.0,2,1
86,2,0,2,3,3,0,0,196,2018,9,4,4,0,0,0,96.05,1,1
87,1,0,0,2,0,0,0,188,2018,6,15,4,0,0,0,130.0,0,0
88,2,0,0,1,3,0,0,17,2018,12,10,4,1,0,5,95.0,0,1
89,2,0,0,3,0,0,4,146,2018,8,9,3,0,0,0,113.56,0,1
90,2,0,1,3,3,0,0,110,2018,5,5,4,0,0,0,101.58,1,1
91,2,0,1,2,0,1,0,68,2018,3,18,4,0,0,0,105.3,0,1
92,2,0,2,1,0,0,3,73,2018,4,9,4,0,0,0,115.8,1,1
93,2,0,0,1,0,0,3,92,2018,5,19,4,0,0,0,149.4,1,1
94,2,0,2,5,0,0,0,171,2018,8,30,4,0,0,0,111.59,0,0
95,2,1,0,2,0,1,0,134,2018,8,4,4,0,0,0,130.5,2,1
96,2,0,0,2,1,0,0,320,2018,8,18,4,0,0,0,115.0,1,0
97,2,0,0,4,0,0,0,118,2018,4,13,4,0,0,0,90.95,1,1
98,2,0,0,3,0,0,0,30,2018,11,17,4,0,0,0,76.08,1,1
99,2,2,1,3,0,0,5,30,2018,12,22,4,0,0,0,156.9,0,1
100,2,0,1,0,3,0,0,189,2018,10,23,4,0,0,0,85.5,2,1
101,3,0,1,2,0,0,3,55,2018,5,13,4,0,0,0,159.3,2,1
102,1,0,0,4,0,0,0,55,2018,12,13,4,0,0,0,74.8,2,1
103,2,0,0,1,0,0,0,16,2017,10,31,4,0,0,0,95.0,1,1
104,2,0,0,3,0,0,0,24,2017,10,8,4,0,0,0,107.0,1,1
105,2,0,0,3,0,0,0,8,2018,2,16,3,0,0,0,64.0,0,1
106,2,0,1,4,0,1,0,10,2017,11,2,4,0,0,0,82.95,0,1
107,2,0,1,3,0,0,3,0,2017,9,21,4,0,0,0,155.0,1,1
108,2,0,0,1,3,0,0,12,2018,6,30,4,0,0,0,101.68,1,1
109,2,0,2,1,0,0,0,32,2017,9,5,4,0,0,0,94.5,3,1
110,2,0,0,2,0,0,0,182,2018,9,30,4,0,0,0,117.9,2,0
111,2,0,1,0,3,0,0,1,2018,6,27,4,0,0,0,127.0,1,1
112,2,0,0,3,3,0,0,122,2018,6,16,4,0,0,0,116.1,2,1
113,2,0,2,3,0,0,0,40,2018,6,30,4,0,0,0,117.9,1,1
114,2,2,2,2,0,0,1,116,2018,6,26,4,0,0,0,184.24,1,0
115,3,0,2,2,0,1,3,123,2018,8,13,4,0,0,0,155.7,1,1
116,3,0,2,5,0,0,3,40,2018,4,22,4,0,0,0,135.76,0,0
117,2,1,2,5,0,0,0,105,2018,11,12,4,0,0,0,102.83,3,1
118,2,0,0,1,0,0,0,443,2018,4,29,4,0,0,0,65.0,0,0
119,2,0,2,3,0,0,0,2,2017,11,14,4,0,0,0,103.0,1,1
120,2,0,0,3,0,0,0,317,2018,9,1,4,0,0,0,106.2,1,0
121,2,0,0,2,1,0,0,286,2018,9,16,3,0,0,0,58.5,0,1
122,2,0,1,3,0,0,0,68,2018,3,10,4,0,0,0,73.95,0,0
123,2,0,0,3,0,0,0,148,2018,5,5,4,0,0,0,105.3,0,1
124,3,0,2,0,0,0,3,68,2018,4,24,4,0,0,0,133.2,2,1
125,2,0,0,2,0,0,0,30,2018,3,30,3,0,0,0,85.5,0,1
126,1,0,0,1,0,0,0,14,2018,11,3,4,0,0,0,112.0,1,0
127,2,2,0,2,0,0,5,110,2018,10,14,4,0,0,0,190.8,0,0
128,1,0,2,3,0,0,0,117,2018,6,5,3,0,0,0,110.0,0,1
129,2,0,1,4,0,0,3,85,2018,7,13,4,0,0,0,91.48,1,1
130,2,0,0,2,3,0,0,1,2018,10,20,4,0,0,0,135.0,2,1
131,1,0,1,2,0,0,0,25,2018,10,17,4,0,0,0,129.0,2,1
132,2,0,2,4,3,0,0,289,2018,12,28,4,0,0,0,70.55,2,0
133,2,0,1,4,0,0,3,28,2017,10,19,3,0,0,0,75.0,0,1
134,1,0,0,4,3,0,0,80,2018,3,29,4,0,0,0,72.25,0,1
135,2,0,0,1,0,0,3,11,2017,10,9,4,0,0,0,155.0,2,1
136,2,1,1,0,0,0,0,162,2018,7,25,4,0,0,0,121.5,2,0
137,2,0,2,5,0,0,0,155,2018,6,28,4,0,0,0,90.95,2,1
138,1,0,2,2,0,0,0,82,2018,5,22,4,0,0,0,109.65,0,1
139,3,0,2,4,0,0,3,27,2018,4,15,4,0,0,0,142.72,0,0
140,1,0,1,2,0,0,0,13,2018,5,9,3,0,0,0,90.0,0,1
141,2,0,0,2,0,0,0,245,2018,6,17,4,0,0,0,75.0,0,0
142,2,0,0,2,0,0,0,11,2018,11,18,4,0,0,0,111.0,1,0
143,2,0,2,2,0,0,0,266,2018,10,30,4,0,0,0,86.7,2,1
144,2,0,1,0,0,0,0,39,2018,3,28,4,0,0,0,117.9,1,1
145,1,0,0,2,0,0,0,13,2018,6,1,1,1,3,5,0.0,1,1
146,2,0,0,4,3,0,0,112,2018,5,4,4,0,0,0,101.58,1,1
147,2,0,1,2,3,0,0,88,2018,4,8,4,0,0,0,58.9,1,1
148,2,0,0,1,0,0,0,56,2018,6,8,3,0,0,0,120.0,0,1
149,2,0,2,3,0,0,3,73,2018,4,7,4,0,0,0,107.1,0,0
150,2,0,1,1,0,0,0,80,2018,5,2,4,0,0,0,126.9,1,1
151,2,0,0,3,0,0,3,130,2018,9,29,4,0,0,0,139.5,2,0
152,2,0,1,3,3,0,0,69,2018,4,4,4,0,0,0,80.75,1,1
153,2,0,0,2,1,0,0,273,2017,7,17,4,0,0,0,109.0,0,0
154,2,0,0,1,1,0,0,55,2018,4,6,3,0,0,0,104.0,0,1
155,1,0,0,3,0,0,0,4,2018,11,1,2,1,1,5,65.0,1,1
156,2,0,0,3,0,0,3,97,2018,5,24,4,0,0,0,140.4,0,1
157,2,0,0,3,0,0,0,44,2018,2,17,3,0,0,0,75.0,0,1
158,2,0,0,1,3,0,0,31,2018,4,14,4,0,0,0,94.5,0,0
159,2,0,1,0,3,0,0,0,2018,6,5,4,0,0,0,109.0,0,1
160,2,0,2,2,0,0,0,62,2018,11,12,4,0,0,0,105.0,2,1
161,2,0,2,2,0,0,3,86,2018,4,17,4,0,0,0,107.95,1,1
162,3,0,2,2,0,0,6,3,2018,10,7,4,0,0,0,215.6,1,1
163,2,0,1,1,3,0,0,197,2018,8,1,4,0,0,0,85.5,1,1
164,2,0,0,2,0,0,0,143,2018,7,12,4,0,0,0,105.3,2,1
165,1,0,2,1,1,0,0,23,2018,1,2,4,0,0,0,1.0,0,1
166,2,0,0,2,0,0,3,8,2018,6,15,4,0,0,0,156.0,0,0
167,1,0,0,2,0,0,0,13,2018,11,16,4,0,0,0,73.15,1,1
168,2,0,1,2,0,0,0,280,2018,9,19,4,0,0,0,110.0,0,0
169,2,1,1,0,3,0,0,11,2017,9,13,4,0,0,0,87.4,1,1
170,2,0,0,2,0,0,0,317,2018,9,15,4,0,0,0,120.0,0,0
171,2,0,1,2,3,0,0,185,2018,12,16,4,0,0,0,79.2,0,0
172,2,0,1,3,0,0,0,160,2018,6,30,4,0,0,0,90.95,1,1
173,2,0,0,4,0,0,0,104,2018,10,18,4,0,0,0,91.48,1,1
174,2,1,0,1,0,0,0,11,2018,11,5,4,0,0,0,150.0,1,0
175,2,0,0,1,3,0,0,2,2018,3,22,4,0,0,0,89.0,0,1
176,2,0,1,4,3,0,0,14,2018,8,17,4,0,0,0,91.43,1,1
177,2,0,0,2,0,0,0,22,2018,5,20,3,0,0,0,140.0,0,1
178,1,1,2,5,3,0,0,37,2017,10,24,4,0,0,0,87.78,0,1
179,2,0,0,2,1,0,0,292,2018,7,21,4,0,0,0,115.0,0,0
180,2,0,0,3,0,0,0,11,2017,9,9,4,0,0,0,80.85,1,1
181,2,0,1,3,0,0,0,86,2018,3,31,4,0,0,0,82.45,1,1
182,2,0,0,1,3,0,0,109,2018,10,11,4,0,0,0,108.0,0,0
183,2,0,1,1,0,0,3,72,2018,4,2,4,0,0,0,96.3,1,1
184,2,0,1,5,0,0,0,196,2018,8,22,4,0,0,0,99.45,0,0
185,2,0,0,2,0,0,3,56,2018,5,13,4,0,0,0,140.4,1,1
186,2,0,1,3,0,0,0,189,2018,8,8,3,0,0,0,72.25,0,1
187,2,0,1,4,0,0,3,126,2018,8,15,4,0,0,0,126.0,0,1
188,2,0,2,3,0,0,0,303,2018,8,19,4,0,0,0,78.0,0,0
189,1,0,2,2,0,0,3,81,2018,11,6,4,0,0,0,146.6,1,1
190,2,0,1,2,0,0,0,54,2018,10,10,4,0,0,0,118.8,0,0
191,1,0,0,1,0,0,0,15,2018,10,6,4,0,0,0,145.0,0,0
192,2,0,0,4,0,0,0,86,2018,4,6,4,0,0,0,84.58,0,0
193,2,0,1,2,1,0,0,161,2018,3,25,4,0,0,0,130.0,0,0
194,2,0,4,10,0,0,3,147,2018,8,3,4,0,0,0,118.88,1,0
195,2,0,1,2,0,0,0,92,2018,5,30,3,0,0,0,101.52,0,1
196,2,0,0,1,0,0,0,87,2017,9,11,2,0,0,0,100.0,0,0
197,2,0,2,1,0,0,0,109,2018,3,20,3,0,0,0,58.0,0,1
198,2,0,0,4,0,0,0,127,2018,3,23,3,0,0,0,61.5,2,1
199,2,0,1,2,1,0,0,418,2018,9,26,4,0,0,0,107.0,0,0
200,2,0,1,4,3,0,0,156,2018,8,24,4,0,0,0,87.3,1,1
201,2,0,0,2,0,0,0,80,2017,7,16,4,0,0,0,76.5,1,0
202,2,0,2,2,3,0,0,211,2018,12,16,4,0,0,0,63.75,0,0
203,2,0,1,2,0,0,0,273,2018,5,13,4,0,0,0,95.0,0,0
204,2,0,2,1,0,0,0,58,2018,11,19,3,0,0,0,75.0,1,1
205,2,0,0,3,0,0,0,433,2018,9,8,4,0,0,0,70.0,0,0
206,2,0,1,3,0,0,0,111,2018,5,2,4,0,0,0,101.58,1,1
207,2,0,2,3,0,0,0,34,2018,8,21,3,0,0,0,85.0,0,1
208,2,0,2,4,0,0,0,17,2018,12,3,4,0,0,0,98.39,0,1
209,1,0,0,0,0,0,0,4,2018,2,27,1,0,0,0,0.0,1,1
210,2,0,0,3,0,0,0,6,2017,9,22,4,0,0,0,106.07,1,1
211,2,0,1,1,0,0,0,32,2018,7,18,3,0,0,0,105.0,1,1
212,2,0,0,1,0,0,0,4,2017,9,22,4,0,0,0,145.0,2,1
213,3,0,2,1,0,0,0,195,2018,8,13,4,0,0,0,106.03,1,0
214,2,0,2,2,0,0,0,119,2018,8,13,4,0,0,0,114.3,1,1
215,1,0,1,1,3,0,0,13,2018,12,5,4,0,0,0,88.0,0,1
216,2,0,0,2,0,0,0,59,2017,10,15,4,0,0,0,89.25,2,1
217,2,1,2,5,0,0,3,78,2018,3,20,4,0,0,0,86.32,1,1
218,2,0,0,3,0,0,0,335,2018,10,13,3,0,0,0,90.0,1,1
219,2,0,2,5,0,0,0,103,2017,8,22,4,0,0,0,55.96,0,1
220,1,0,0,2,3,0,0,0,2018,6,8,4,0,0,0,109.0,1,1
221,2,0,0,1,0,0,0,118,2018,3,1,3,0,0,0,86.0,0,1
222,2,0,1,5,0,0,0,56,2018,9,5,4,0,0,0,118.95,0,1
223,2,0,0,2,0,0,0,107,2018,6,10,3,0,0,0,130.0,1,1
224,2,0,1,3,3,0,0,70,2018,4,14,4,0,0,0,90.56,1,1
225,2,0,0,2,0,0,0,76,2018,4,1,4,0,0,0,87.3,1,1
226,2,2,2,2,0,0,5,144,2018,5,27,4,0,0,0,177.65,1,0
227,1,2,2,2,0,0,5,4,2017,9,19,4,0,0,0,200.75,2,1
228,2,1,0,2,0,0,0,15,2018,3,18,4,0,0,0,127.0,1,1
229,1,0,1,2,0,0,0,32,2018,2,5,4,0,0,0,72.9,0,0
230,3,0,1,1,0,0,3,49,2018,5,7,4,0,0,0,159.3,0,0
231,2,1,1,3,0,0,0,77,2018,5,12,4,0,0,0,135.15,1,1
232,1,0,0,2,0,0,0,22,2018,10,28,3,0,0,0,90.0,0,1
233,2,0,1,0,3,0,0,0,2017,10,18,4,0,0,0,114.0,0,1
234,2,1,0,1,0,1,0,58,2018,6,21,4,0,0,0,125.1,1,1
235,2,0,2,6,3,0,0,4,2017,8,14,4,0,0,0,95.13,1,1
236,2,0,0,2,0,0,4,117,2018,4,29,4,0,0,0,105.84,0,0
237,2,0,1,3,0,0,0,36,2018,12,26,4,0,0,0,102.0,0,0
238,2,0,2,2,3,0,0,35,2018,12,2,4,0,0,0,74.8,2,1
239,2,0,1,0,3,0,0,31,2018,4,24,4,0,0,0,94.5,0,0
240,2,0,2,4,3,0,0,79,2018,6,16,4,0,0,0,120.6,0,1
241,2,0,1,2,0,0,0,1,2017,10,9,4,0,0,0,139.33,0,1
242,2,0,0,2,0,0,0,21,2017,9,3,4,0,0,0,105.0,0,1
243,2,0,0,2,3,0,0,12,2018,9,14,2,0,0,0,100.0,1,1
244,2,0,1,0,0,0,0,33,2018,2,8,4,0,0,0,80.3,1,1
245,1,0,0,2,0,0,0,164,2017,10,2,3,0,0,0,100.0,0,1
246,2,0,0,3,0,1,0,78,2018,3,24,4,0,0,0,105.3,1,1
247,2,0,0,4,0,0,3,18,2018,5,31,4,0,0,0,112.8,0,0
248,2,0,1,2,0,0,0,21,2018,8,15,4,0,0,0,151.0,0,0
249,1,0,1,3,0,0,0,0,2017,11,9,4,0,0,0,91.0,1,1
250,3,0,2,1,0,0,3,152,2018,8,13,4,0,0,0,146.7,1,0
251,2,0,2,3,0,0,0,43,2017,10,2,3,0,0,0,58.4,0,1
252,2,0,0,4,3,0,0,177,2018,7,26,4,0,0,0,80.75,1,0
253,2,0,1,1,3,0,0,47,2018,5,21,3,0,0,0,76.5,0,1
254,3,0,0,3,0,0,3,57,2018,9,7,4,0,0,0,140.13,0,1
255,2,0,2,4,3,0,0,60,2017,11,15,4,0,0,0,76.0,1,1
256,2,0,0,1,0,0,0,0,2017,9,16,4,0,0,0,200.0,0,1
257,2,0,0,2,1,0,0,102,2017,10,16,4,0,0,0,101.5,0,0
258,2,0,0,3,3,0,0,71,2018,10,18,4,0,0,0,108.0,1,1
259,3,0,2,3,1,0,3,111,2018,7,23,4,0,0,0,189.0,1,1
260,3,0,1,1,0,0,3,1,2018,6,11,4,0,0,0,166.0,3,1
261,2,0,1,1,3,0,0,4,2018,1,16,4,0,0,0,67.5,0,1
262,2,0,1,3,0,0,3,25,2017,9,14,4,0,0,0,78.54,1,1
263,1,0,2,2,0,0,0,209,2018,11,6,4,0,0,0,152.1,1,0
264,1,0,2,1,0,0,0,93,2018,10,15,4,0,0,0,115.0,0,0
265,2,0,2,5,3,0,0,53,2017,9,2,4,0,0,0,66.53,2,1
266,1,0,0,2,0,0,0,1,2017,8,12,1,1,0,1,0.0,1,1
267,1,0,2,1,0,0,0,4,2017,8,23,1,0,0,0,0.0,1,1
268,2,0,0,3,0,0,0,302,2018,12,29,4,0,0,0,90.3,2,0
269,2,0,0,2,0,0,0,122,2018,4,15,3,0,0,0,85.0,0,1
270,1,0,0,1,0,0,0,16,2018,3,11,2,0,0,0,75.0,0,1
271,2,0,2,4,0,0,0,28,2018,8,28,4,0,0,0,115.37,1,0
272,2,0,1,2,1,0,0,161,2018,3,25,4,0,0,0,130.0,0,0
273,3,0,0,2,0,0,3,57,2018,12,9,4,0,0,0,126.0,2,1
274,2,0,1,0,0,0,0,19,2018,6,12,4,0,0,0,94.35,1,1
275,3,0,2,4,0,0,3,109,2018,7,6,4,0,0,0,118.46,4,1
276,1,0,0,2,1,0,0,239,2018,6,15,4,0,0,0,90.6,0,0
277,1,0,2,1,0,0,0,33,2018,3,5,4,0,0,0,82.9,2,1
278,2,0,0,3,0,0,0,11,2017,8,18,4,0,0,0,95.33,1,1
279,3,0,2,5,0,0,3,40,2018,4,21,4,0,0,0,135.64,1,1
280,3,0,1,1,0,0,3,45,2018,6,18,3,0,0,0,122.4,0,1
281,2,0,1,3,3,0,0,41,2018,5,9,4,0,0,0,116.1,0,0
282,2,0,0,4,3,0,0,167,2018,6,28,4,0,0,0,62.18,0,0
283,2,0,0,4,3,0,0,62,2018,3,9,4,0,0,0,63.75,0,0
284,1,0,1,4,0,0,0,113,2018,9,7,4,0,0,0,118.8,0,0
285,2,0,0,2,3,1,0,1,2018,8,10,4,0,0,0,167.0,0,1
286,2,2,2,2,0,0,5,84,2018,5,13,4,0,0,0,187.85,1,1
287,0,2,2,2,0,0,0,68,2018,4,24,4,0,0,0,108.38,1,0
288,2,0,0,1,0,0,1,9,2018,9,7,1,1,0,3,0.0,1,1
289,3,0,1,2,0,0,0,245,2018,10,28,4,0,0,0,128.7,0,0
290,2,0,1,3,0,0,0,80,2018,3,17,4,0,0,0,80.33,1,1
291,2,0,1,1,0,0,0,7,2018,8,22,4,0,0,0,140.0,1,0
292,2,1,1,1,0,0,0,128,2017,8,8,4,0,0,0,76.5,2,1
293,2,0,2,1,0,0,0,100,2018,5,1,4,0,0,0,105.3,1,1
294,2,0,2,1,0,0,0,118,2018,4,3,4,0,0,0,87.3,1,0
295,1,0,0,3,0,0,0,166,2018,11,1,4,0,0,0,110.0,0,0
296,1,0,0,1,1,0,0,41,2017,9,4,3,0,0,0,83.0,0,1
297,2,0,2,2,0,0,0,174,2018,8,13,4,0,0,0,99.45,1,1
298,2,1,2,1,1,0,0,27,2017,12,27,3,0,0,0,104.5,3,1
299,2,0,2,6,0,0,0,2,2018,11,16,4,0,0,0,92.54,2,1
300,1,0,0,3,0,0,0,37,2018,10,13,3,0,0,0,95.0,0,1
301,1,0,0,2,0,0,0,188,2018,6,15,4,0,0,0,130.0,0,0
302,2,0,2,1,0,0,0,68,2018,1,2,3,1,1,0,63.0,1,1
303,2,0,1,2,0,0,3,189,2018,10,28,4,0,0,0,109.8,0,0
304,2,0,1,0,0,0,0,10,2018,5,16,4,0,0,0,103.0,0,1
305,3,0,2,1,0,0,3,19,2018,2,20,4,0,0,0,130.0,1,1
306,2,0,0,2,0,0,0,61,2018,3,23,4,0,0,0,117.0,0,0
307,2,0,0,4,0,0,3,95,2017,12,29,3,0,0,0,60.5,0,1
308,2,0,0,1,1,0,0,83,2017,9,30,3,0,0,0,112.2,0,1
309,2,0,1,3,0,0,0,37,2018,8,1,4,0,0,0,135.9,0,0
310,2,0,1,0,0,0,0,19,2018,7,25,4,0,0,0,151.0,1,0
311,2,2,0,2,0,0,5,22,2018,9,16,4,0,0,0,239.0,2,1
312,2,0,2,1,0,0,0,22,2017,12,26,4,0,0,0,59.09,0,1
313,2,0,2,5,0,0,0,151,2018,7,9,4,0,0,0,103.09,0,0
314,2,0,2,1,0,0,0,26,2018,2,28,3,0,0,0,87.0,0,1
315,3,0,1,0,0,0,3,27,2018,4,17,4,0,0,0,137.0,0,0
316,2,0,0,2,1,0,0,79,2018,6,24,3,0,0,0,109.0,0,1
317,2,0,1,1,1,0,0,247,2018,6,6,4,0,0,0,115.0,1,0
318,2,0,2,3,0,0,3,189,2018,7,17,4,0,0,0,99.45,1,1
319,2,0,0,2,1,0,0,320,2018,8,18,4,0,0,0,115.0,1,0
320,3,0,1,2,0,0,3,27,2018,2,22,4,0,0,0,130.0,2,1
321,1,0,1,0,0,0,0,51,2018,5,22,2,1,0,3,65.0,0,1
322,2,0,0,2,0,0,0,245,2018,6,17,4,0,0,0,75.0,0,0
323,2,1,1,2,0,0,0,52,2018,7,8,4,0,0,0,132.9,0,0
324,1,0,2,0,0,0,0,13,2017,10,18,4,0,0,0,120.0,0,1
325,2,0,0,2,3,0,0,46,2018,11,11,4,0,0,0,79.2,1,0
326,3,0,2,1,0,0,3,84,2018,8,28,4,0,0,0,159.3,0,0
327,1,0,0,2,0,0,0,188,2018,6,15,4,0,0,0,130.0,0,0
328,2,0,0,3,0,0,0,19,2017,10,6,3,1,1,0,90.0,0,1
329,2,0,0,2,0,0,3,67,2018,5,27,4,0,0,0,140.4,1,1
330,2,0,0,1,0,0,0,0,2017,8,11,4,0,0,0,75.0,0,1
331,2,0,0,2,1,0,0,273,2017,7,17,4,0,0,0,109.0,0,0
332,2,0,2,1,1,0,0,110,2017,7,25,4,0,0,0,94.5,0,0
333,1,0,0,1,0,0,0,0,2017,12,15,2,1,0,1,75.0,0,1
